epoch,train_acc,val_acc,test_acc,train_loss,val_loss
1,0.0760,0.1344,0.1358,4.2160,3.6931
2,0.1496,0.1734,0.1761,3.5543,3.4084
3,0.1966,0.2432,0.2335,3.2771,3.0671
4,0.2361,0.2672,0.2556,3.0786,2.9705
5,0.2645,0.2800,0.2778,2.9077,2.8685
6,0.2930,0.3168,0.3138,2.7629,2.6833
7,0.3172,0.3358,0.3365,2.6508,2.6114
8,0.3338,0.3416,0.3444,2.5679,2.5576
9,0.3517,0.3706,0.3706,2.4968,2.4072
10,0.3667,0.3380,0.3396,2.4136,2.5935
11,0.3789,0.3752,0.3605,2.3598,2.4475
12,0.3830,0.3754,0.3816,2.3229,2.3747
13,0.3968,0.3976,0.3994,2.2719,2.2944
14,0.4050,0.3876,0.3828,2.2336,2.4208
15,0.4159,0.3722,0.3819,2.1790,2.4127
16,0.4257,0.4050,0.4064,2.1545,2.3187
17,0.4286,0.3820,0.3870,2.1249,2.4145
18,0.4376,0.3900,0.3949,2.0955,2.3483
19,0.4428,0.4128,0.4347,2.0724,2.1848
20,0.4465,0.4178,0.4191,2.0402,2.2183
21,0.4512,0.4178,0.4170,2.0273,2.2642
22,0.4568,0.4146,0.4348,1.9990,2.2304
23,0.4622,0.4266,0.4340,1.9793,2.1587
24,0.4676,0.4282,0.4455,1.9545,2.1573
25,0.4732,0.4336,0.4519,1.9377,2.1263
26,0.4759,0.4378,0.4502,1.9251,2.1314
27,0.4793,0.4358,0.4539,1.9047,2.1182
28,0.4808,0.4458,0.4550,1.8845,2.1348
29,0.4865,0.4442,0.4594,1.8746,2.1123
30,0.4894,0.4598,0.4602,1.8651,2.0344
31,0.4974,0.4396,0.4594,1.8328,2.1137
32,0.5023,0.4414,0.4543,1.8165,2.1566
33,0.5016,0.4632,0.4723,1.8143,2.0300
34,0.5081,0.4650,0.4661,1.7830,2.0526
35,0.5126,0.4296,0.4350,1.7677,2.2216
36,0.5138,0.4534,0.4650,1.7663,2.0848
37,0.5184,0.4516,0.4621,1.7368,2.0942
38,0.5196,0.4444,0.4637,1.7347,2.1219
39,0.5275,0.4678,0.4746,1.7055,2.0012
40,0.5294,0.4730,0.4812,1.6913,2.0018
41,0.5305,0.4626,0.4733,1.6835,2.0412
42,0.5337,0.4654,0.4802,1.6705,1.9756
43,0.5387,0.4582,0.4600,1.6544,2.1097
44,0.5390,0.4742,0.4916,1.6418,1.9670
45,0.5482,0.4844,0.4967,1.6172,1.9755
46,0.5479,0.4716,0.4822,1.6012,2.0751
47,0.5527,0.4934,0.4948,1.5864,1.9190
48,0.5596,0.4908,0.4921,1.5724,1.9362
49,0.5608,0.4658,0.4832,1.5472,1.9877
50,0.5662,0.4628,0.4706,1.5342,2.0857
51,0.5750,0.5028,0.5137,1.4988,1.8817
52,0.5747,0.4780,0.4900,1.5037,1.9732
53,0.5842,0.5020,0.5091,1.4692,1.8808
54,0.5884,0.4902,0.4928,1.4495,1.9533
55,0.5913,0.4982,0.5025,1.4336,1.9005
56,0.5972,0.5014,0.5048,1.4075,1.9266
57,0.5973,0.4942,0.5024,1.3973,1.9387
58,0.6087,0.5068,0.5139,1.3648,1.8590
59,0.6062,0.4960,0.5027,1.3613,1.9617
60,0.6161,0.4990,0.5023,1.3284,1.9061
61,0.6200,0.4970,0.5066,1.3178,1.9238
62,0.6294,0.4998,0.5108,1.2795,1.9340
63,0.6347,0.4962,0.4994,1.2473,2.0260
64,0.6366,0.5150,0.5229,1.2397,1.8714
65,0.6483,0.5148,0.5300,1.1991,1.8731
66,0.6492,0.5012,0.5200,1.1879,1.9639
67,0.6581,0.5196,0.5217,1.1646,1.8987
68,0.6680,0.5286,0.5339,1.1225,1.8505
69,0.6737,0.5132,0.5268,1.1024,1.9265
70,0.6826,0.5182,0.5425,1.0708,1.8734
71,0.6892,0.5186,0.5285,1.0377,1.8816
72,0.6989,0.5196,0.5286,1.0101,1.9202
73,0.7039,0.5066,0.5107,0.9855,2.0218
74,0.7159,0.5220,0.5315,0.9466,1.9334
75,0.7231,0.5250,0.5329,0.9212,1.8798
76,0.7265,0.5184,0.5218,0.8982,1.9734
77,0.7346,0.5334,0.5356,0.8740,1.8860
78,0.7489,0.5338,0.5445,0.8283,1.9076
79,0.7600,0.5382,0.5392,0.7853,1.9394
80,0.7635,0.5448,0.5393,0.7682,1.8866
81,0.7763,0.5492,0.5532,0.7321,1.8567
82,0.7884,0.5268,0.5376,0.6859,2.0004
83,0.7950,0.5336,0.5440,0.6624,1.9386
84,0.8104,0.5264,0.5398,0.6114,2.0672
85,0.8159,0.5488,0.5410,0.5966,1.9606
86,0.8302,0.5512,0.5554,0.5473,1.9470
87,0.8424,0.5486,0.5481,0.5062,1.9748
88,0.8540,0.5552,0.5610,0.4689,1.9934
89,0.8644,0.5538,0.5581,0.4399,2.0268
90,0.8764,0.5598,0.5579,0.4016,2.0008
91,0.8809,0.5524,0.5626,0.3814,2.0252
92,0.8953,0.5524,0.5566,0.3447,2.0686
93,0.9057,0.5650,0.5683,0.3056,1.9980
94,0.9152,0.5640,0.5643,0.2783,2.0557
95,0.9242,0.5630,0.5679,0.2489,2.0316
96,0.9321,0.5660,0.5771,0.2246,2.0259
97,0.9424,0.5710,0.5778,0.1949,2.0386
98,0.9519,0.5714,0.5787,0.1706,2.0458
99,0.9604,0.5782,0.5846,0.1442,2.0271
100,0.9675,0.5776,0.5848,0.1206,2.0181
101,0.9714,0.5790,0.5872,0.1081,2.0201
102,0.9761,0.5856,0.5837,0.0932,2.0254
103,0.9788,0.5816,0.5918,0.0839,2.0148
104,0.9831,0.5870,0.5899,0.0716,1.9869
105,0.9867,0.5838,0.5931,0.0618,1.9811
106,0.9878,0.5834,0.5941,0.0566,1.9835
107,0.9893,0.5892,0.5918,0.0509,1.9838
108,0.9905,0.5874,0.5975,0.0469,1.9765
109,0.9918,0.5908,0.5962,0.0425,1.9804
110,0.9925,0.5912,0.5957,0.0394,1.9802
