epoch,train_acc,val_acc,test_acc,train_loss,val_loss
1,0.0736,0.1412,0.1422,4.1937,3.6114
2,0.1469,0.1684,0.1739,3.5611,3.4578
3,0.1940,0.2274,0.2191,3.2903,3.1430
4,0.2304,0.2582,0.2535,3.0953,2.9919
5,0.2632,0.2808,0.2858,2.9287,2.8435
6,0.2894,0.3058,0.3052,2.7820,2.7688
7,0.3167,0.3332,0.3365,2.6548,2.6137
8,0.3367,0.3648,0.3578,2.5625,2.4686
9,0.3556,0.3652,0.3418,2.4727,2.4851
10,0.3689,0.3508,0.3543,2.4082,2.5149
11,0.3817,0.3968,0.3864,2.3449,2.3519
12,0.3875,0.3812,0.3810,2.3092,2.3828
13,0.3962,0.4002,0.4093,2.2692,2.2824
14,0.4068,0.3886,0.3938,2.2233,2.3542
15,0.4166,0.3802,0.3904,2.1823,2.3827
16,0.4222,0.3996,0.4130,2.1638,2.2985
17,0.4299,0.4054,0.4048,2.1328,2.3033
18,0.4360,0.4128,0.4187,2.1013,2.2272
19,0.4389,0.4074,0.4223,2.0891,2.2735
20,0.4416,0.4284,0.4361,2.0749,2.1871
21,0.4456,0.4284,0.4378,2.0533,2.1940
22,0.4503,0.4210,0.4383,2.0349,2.1911
23,0.4540,0.4180,0.4239,2.0188,2.2046
24,0.4591,0.4308,0.4342,2.0052,2.1911
25,0.4600,0.4388,0.4536,1.9868,2.1098
26,0.4620,0.4276,0.4359,1.9859,2.1738
27,0.4705,0.4410,0.4574,1.9531,2.1372
28,0.4708,0.4136,0.4141,1.9545,2.2572
29,0.4699,0.4158,0.4371,1.9476,2.2384
30,0.4717,0.4516,0.4517,1.9397,2.0574
31,0.4746,0.4328,0.4438,1.9291,2.1812
32,0.4791,0.3908,0.4088,1.9087,2.3662
33,0.4779,0.4604,0.4658,1.9158,2.0370
34,0.4823,0.4166,0.4298,1.8965,2.2736
35,0.4809,0.4364,0.4414,1.8955,2.1770
36,0.4811,0.4364,0.4446,1.8875,2.1689
37,0.4849,0.4366,0.4487,1.8782,2.1454
38,0.4877,0.4438,0.4489,1.8762,2.1660
39,0.4908,0.4324,0.4323,1.8617,2.2274
40,0.4941,0.4704,0.4722,1.8572,2.0164
41,0.4917,0.4508,0.4627,1.8541,2.1151
42,0.4910,0.4510,0.4650,1.8667,2.0964
43,0.4866,0.4506,0.4475,1.8584,2.1057
44,0.4931,0.4516,0.4558,1.8429,2.0975
45,0.4944,0.4520,0.4521,1.8380,2.1005
46,0.4955,0.4424,0.4508,1.8362,2.1717
47,0.4980,0.4628,0.4714,1.8247,2.0341
48,0.4962,0.4400,0.4435,1.8292,2.1853
49,0.4991,0.4270,0.4314,1.8248,2.2244
50,0.4995,0.4354,0.4414,1.8197,2.1599
51,0.5047,0.4544,0.4665,1.8083,2.0523
52,0.5021,0.4484,0.4674,1.8107,2.0694
53,0.5025,0.4474,0.4537,1.8010,2.1129
54,0.5039,0.4574,0.4721,1.8116,2.0343
55,0.5048,0.4290,0.4246,1.8024,2.2677
56,0.5067,0.4488,0.4467,1.7939,2.1134
57,0.5032,0.4468,0.4521,1.8034,2.1655
58,0.5052,0.4538,0.4533,1.7968,2.1152
59,0.5061,0.4422,0.4463,1.7969,2.1250
60,0.5094,0.4778,0.4669,1.7860,2.0126
61,0.6319,0.5810,0.5782,1.3098,1.5264
62,0.6755,0.5806,0.5867,1.1235,1.5116
63,0.6976,0.5950,0.5921,1.0400,1.4898
64,0.7094,0.5906,0.5965,0.9862,1.4761
65,0.7237,0.5928,0.5929,0.9334,1.5066
66,0.7365,0.5948,0.5958,0.8924,1.5018
67,0.7474,0.5932,0.5916,0.8484,1.5153
68,0.7571,0.5934,0.5958,0.8100,1.5380
69,0.7666,0.5896,0.6002,0.7814,1.5397
70,0.7754,0.5932,0.5904,0.7476,1.5415
71,0.7821,0.5936,0.5933,0.7218,1.5804
72,0.7889,0.5830,0.5927,0.6988,1.5892
73,0.7977,0.5894,0.5978,0.6682,1.5810
74,0.8013,0.5822,0.5828,0.6493,1.6669
75,0.8060,0.5854,0.5910,0.6306,1.6349
76,0.8138,0.5774,0.5906,0.6082,1.6517
77,0.8186,0.5838,0.5850,0.5960,1.6783
78,0.8229,0.5782,0.5826,0.5752,1.7262
79,0.8263,0.5766,0.5809,0.5588,1.7498
80,0.8321,0.5768,0.5803,0.5447,1.7197
81,0.8848,0.5978,0.6040,0.3942,1.5995
82,0.9033,0.5994,0.6064,0.3401,1.6036
83,0.9127,0.6016,0.6029,0.3164,1.6060
84,0.9173,0.6032,0.6081,0.3002,1.6067
85,0.9192,0.6050,0.6077,0.2921,1.6096
86,0.9236,0.6036,0.6069,0.2795,1.6157
87,0.9277,0.6060,0.6073,0.2670,1.6181
88,0.9308,0.6020,0.6078,0.2552,1.6337
89,0.9353,0.6024,0.6082,0.2453,1.6325
90,0.9331,0.6030,0.6092,0.2444,1.6459
91,0.9372,0.6008,0.6066,0.2334,1.6455
92,0.9392,0.6070,0.6071,0.2278,1.6563
93,0.9424,0.6020,0.6087,0.2199,1.6538
94,0.9436,0.6080,0.6047,0.2160,1.6598
95,0.9438,0.6046,0.6055,0.2139,1.6722
96,0.9455,0.6060,0.6075,0.2078,1.6773
97,0.9478,0.6060,0.6046,0.2011,1.6883
98,0.9520,0.6040,0.6073,0.1911,1.6868
99,0.9502,0.6040,0.6050,0.1895,1.6997
100,0.9520,0.6068,0.6053,0.1838,1.7112
101,0.9528,0.6028,0.6054,0.1802,1.7127
102,0.9564,0.6070,0.6068,0.1717,1.7201
103,0.9554,0.6034,0.6075,0.1741,1.7175
104,0.9548,0.6020,0.6066,0.1719,1.7240
105,0.9577,0.6036,0.6081,0.1649,1.7274
106,0.9590,0.6002,0.6036,0.1614,1.7336
107,0.9600,0.6022,0.6066,0.1597,1.7392
108,0.9598,0.6054,0.6068,0.1565,1.7335
109,0.9619,0.6026,0.6041,0.1504,1.7495
110,0.9632,0.5966,0.6039,0.1468,1.7493
111,0.9643,0.6002,0.6046,0.1433,1.7541
112,0.9648,0.6014,0.6016,0.1414,1.7620
113,0.9662,0.5994,0.6057,0.1388,1.7706
114,0.9656,0.6030,0.6079,0.1345,1.7721
