epoch,train_acc,val_acc,test_acc,train_loss,val_loss
1,0.0979,0.1586,0.1637,11.5258,3.8778
2,0.1910,0.2478,0.2417,9.6591,3.8284
3,0.2554,0.2840,0.2860,8.5352,3.6004
4,0.3010,0.3250,0.3172,7.7583,3.4046
5,0.3380,0.3564,0.3664,7.1738,3.2699
6,0.3656,0.3694,0.3669,6.7603,3.2438
7,0.3877,0.3736,0.3826,6.3902,3.2898
8,0.4046,0.4108,0.4122,6.1413,3.0330
9,0.4199,0.4012,0.4054,5.9390,3.0794
10,0.4332,0.4212,0.4310,5.7426,2.9533
11,0.4495,0.4306,0.4345,5.5676,2.9348
12,0.4578,0.4530,0.4453,5.3751,2.7788
13,0.4656,0.4158,0.4186,5.2971,2.9985
14,0.4760,0.4338,0.4349,5.1849,2.9420
15,0.4849,0.4514,0.4603,5.0565,2.8042
16,0.4906,0.4588,0.4629,5.0099,2.6613
17,0.5020,0.4564,0.4679,4.8740,2.8085
18,0.5041,0.4500,0.4599,4.8201,2.8248
19,0.5110,0.4678,0.4760,4.7264,2.6952
20,0.5128,0.4638,0.4698,4.7105,2.8405
21,0.5240,0.4508,0.4636,4.6132,2.8377
22,0.5225,0.4626,0.4736,4.5877,2.8058
23,0.5330,0.4910,0.4859,4.4915,2.6535
24,0.5324,0.4790,0.4859,4.4509,2.6452
25,0.5384,0.4796,0.4838,4.4133,2.6778
26,0.5473,0.4618,0.4660,4.3588,2.9456
27,0.5402,0.4856,0.4864,4.3548,2.7297
28,0.5506,0.4926,0.4990,4.2834,2.6646
29,0.5542,0.4886,0.4852,4.2424,2.7074
30,0.5590,0.4910,0.4898,4.1705,2.5800
31,0.5643,0.4956,0.5064,4.1135,2.5829
32,0.5655,0.4796,0.4942,4.1113,2.6095
33,0.5725,0.4960,0.5030,4.0732,2.6714
34,0.5712,0.4568,0.4696,4.0439,3.0136
35,0.5818,0.4980,0.5038,3.9667,2.6420
36,0.5813,0.4848,0.4976,3.9442,2.6717
37,0.5861,0.4832,0.4977,3.8913,2.7574
38,0.5921,0.5070,0.5114,3.8262,2.5580
39,0.5887,0.5036,0.5112,3.8656,2.5923
40,0.5954,0.5126,0.5115,3.7809,2.5844
41,0.5999,0.4854,0.4912,3.7513,2.8565
42,0.6049,0.5088,0.5185,3.7048,2.5412
