epoch,train_acc,val_acc,test_acc,train_loss,val_loss
1,0.1039,0.1670,0.1680,7.7023,3.8010
2,0.2014,0.2558,0.2545,6.1664,3.3217
3,0.2676,0.3046,0.3150,5.2520,3.0950
4,0.3149,0.3188,0.3136,4.6367,3.2596
5,0.3557,0.3766,0.3798,4.1811,2.7449
6,0.3856,0.3982,0.4046,3.8197,2.6399
7,0.4102,0.4062,0.4029,3.5463,2.6395
8,0.4318,0.4238,0.4305,3.3531,2.5512
9,0.4500,0.4222,0.4253,3.1516,2.6209
10,0.4614,0.4404,0.4597,3.0370,2.4880
11,0.4763,0.4408,0.4403,2.9390,2.4996
12,0.4854,0.4590,0.4576,2.8125,2.4171
13,0.4981,0.4574,0.4647,2.7317,2.4205
14,0.5027,0.4552,0.4583,2.6686,2.3407
15,0.5128,0.4670,0.4685,2.5970,2.3779
16,0.5178,0.4882,0.4892,2.5799,2.1424
17,0.5264,0.4740,0.4891,2.5050,2.2452
18,0.5276,0.4602,0.4784,2.4818,2.3590
19,0.5359,0.4814,0.4859,2.4236,2.2501
20,0.5361,0.4766,0.4855,2.4143,2.3369
21,0.5489,0.4890,0.4925,2.3500,2.2395
22,0.5442,0.4824,0.4905,2.3530,2.2838
23,0.5517,0.4956,0.5029,2.3118,2.2310
24,0.5494,0.4712,0.4799,2.3190,2.3594
