epoch,train_acc,val_acc,test_acc,train_loss,val_loss
1,0.0283,0.0530,0.0509,4.6880,4.1123
2,0.0779,0.1122,0.1081,3.9759,3.7541
3,0.1238,0.1368,0.1439,3.6728,3.5739
4,0.1673,0.2060,0.2090,3.4202,3.3308
5,0.2078,0.2336,0.2204,3.2105,3.1079
6,0.2361,0.2660,0.2643,3.0516,2.9410
7,0.2619,0.2714,0.2736,2.9270,2.9281
8,0.2808,0.2744,0.2678,2.8227,2.8830
9,0.3012,0.3218,0.3266,2.7273,2.6073
10,0.3169,0.3362,0.3343,2.6397,2.6182
11,0.3315,0.3354,0.3390,2.5736,2.6052
12,0.3481,0.3400,0.3342,2.5045,2.5783
13,0.3619,0.3648,0.3743,2.4411,2.4367
14,0.3723,0.3742,0.3729,2.3886,2.4302
15,0.3824,0.3630,0.3617,2.3395,2.5440
16,0.3942,0.3850,0.3829,2.2939,2.3996
17,0.3990,0.3796,0.3850,2.2622,2.4348
18,0.4072,0.3924,0.3779,2.2239,2.3706
19,0.4153,0.4078,0.4116,2.1904,2.2685
20,0.4240,0.4104,0.4115,2.1507,2.2891
21,0.4296,0.3982,0.4025,2.1230,2.3556
22,0.4370,0.3926,0.4035,2.0887,2.3414
23,0.4439,0.4180,0.4215,2.0647,2.2439
24,0.4470,0.4042,0.4107,2.0417,2.2760
25,0.4544,0.4160,0.4223,2.0164,2.2320
26,0.4567,0.4384,0.4403,2.0010,2.1293
27,0.4605,0.4330,0.4341,1.9862,2.1510
28,0.4682,0.4472,0.4554,1.9544,2.0887
29,0.4694,0.4384,0.4432,1.9432,2.1417
30,0.4761,0.4484,0.4592,1.9178,2.0697
31,0.4789,0.4398,0.4452,1.9031,2.1579
32,0.4882,0.4486,0.4532,1.8730,2.1013
33,0.4882,0.4690,0.4750,1.8640,1.9611
34,0.4943,0.4504,0.4539,1.8434,2.0766
35,0.4968,0.4456,0.4546,1.8337,2.1016
36,0.5008,0.4588,0.4641,1.8056,2.0804
37,0.5062,0.4530,0.4564,1.7873,2.0876
38,0.5092,0.4620,0.4590,1.7790,2.0611
39,0.5138,0.4578,0.4603,1.7599,2.0944
40,0.5183,0.4644,0.4745,1.7357,2.0184
41,0.5198,0.4746,0.4872,1.7194,1.9610
42,0.5270,0.4734,0.4764,1.7071,2.0000
43,0.5301,0.4788,0.4856,1.6913,1.9660
44,0.5336,0.4582,0.4678,1.6685,2.0456
45,0.5420,0.4668,0.4723,1.6453,2.0143
46,0.5460,0.4754,0.4721,1.6318,1.9849
47,0.5444,0.4818,0.4827,1.6216,2.0255
48,0.5498,0.4948,0.5076,1.6000,1.8750
49,0.5572,0.4958,0.4983,1.5714,1.9361
50,0.5622,0.5044,0.5067,1.5534,1.8965
51,0.5624,0.4826,0.4912,1.5462,1.9534
52,0.5746,0.5010,0.5055,1.5087,1.8915
53,0.5735,0.4884,0.5043,1.5054,1.9238
54,0.5784,0.4964,0.5104,1.4841,1.8881
55,0.5871,0.5154,0.5172,1.4600,1.8556
56,0.5900,0.5090,0.5119,1.4308,1.8787
57,0.5923,0.5076,0.5179,1.4232,1.8472
58,0.6020,0.5120,0.5182,1.3897,1.8919
59,0.6069,0.4906,0.5002,1.3771,1.9633
60,0.6076,0.5074,0.5120,1.3568,1.8530
61,0.6130,0.4996,0.5059,1.3359,1.9352
62,0.6243,0.5026,0.5111,1.3001,1.8948
63,0.6317,0.5112,0.5094,1.2706,1.9073
64,0.6377,0.5072,0.5067,1.2447,1.9405
65,0.6418,0.5194,0.5257,1.2290,1.8515
66,0.6466,0.5170,0.5213,1.2083,1.8829
67,0.6557,0.5212,0.5355,1.1714,1.8678
68,0.6620,0.5146,0.5273,1.1484,1.8560
