epoch,train_acc,val_acc,test_acc,train_loss,val_loss
1,0.0291,0.0530,0.0558,4.6832,4.1955
2,0.0764,0.1104,0.1052,3.9821,3.7554
3,0.1277,0.1582,0.1577,3.6502,3.4923
4,0.1799,0.1962,0.2009,3.3821,3.2625
5,0.2151,0.2502,0.2406,3.1642,2.9913
6,0.2457,0.2484,0.2421,3.0131,3.0537
7,0.2686,0.2820,0.2767,2.8937,2.9004
8,0.2886,0.2828,0.2793,2.7872,2.8276
9,0.3104,0.3108,0.3133,2.6904,2.6751
10,0.3279,0.3202,0.3190,2.5968,2.6734
11,0.3399,0.3632,0.3481,2.5344,2.4965
12,0.3524,0.3484,0.3384,2.4682,2.5970
13,0.3704,0.3688,0.3730,2.3997,2.4569
14,0.3777,0.3484,0.3630,2.3540,2.4912
15,0.3876,0.3562,0.3695,2.3062,2.4901
16,0.4010,0.3836,0.3880,2.2649,2.4081
17,0.4043,0.3958,0.4003,2.2437,2.3371
18,0.4115,0.4132,0.4160,2.2029,2.2504
19,0.4152,0.4058,0.4106,2.1835,2.2501
20,0.4203,0.4042,0.4122,2.1556,2.2817
21,0.4286,0.3962,0.4072,2.1296,2.3383
22,0.4318,0.3798,0.3770,2.1062,2.5002
23,0.4366,0.3962,0.4102,2.0907,2.3000
24,0.4435,0.4234,0.4185,2.0660,2.2147
25,0.4471,0.3950,0.3995,2.0538,2.3142
26,0.4456,0.4296,0.4261,2.0552,2.2028
27,0.4468,0.4248,0.4405,2.0374,2.1733
28,0.4577,0.4272,0.4374,2.0072,2.1536
29,0.4559,0.4320,0.4432,2.0057,2.1745
30,0.4576,0.4514,0.4621,1.9937,2.0373
31,0.4602,0.4326,0.4281,1.9890,2.2027
32,0.4700,0.4362,0.4427,1.9582,2.1311
33,0.4665,0.4160,0.4086,1.9667,2.3225
34,0.4677,0.4354,0.4463,1.9565,2.1125
35,0.4710,0.4326,0.4449,1.9433,2.1562
36,0.4745,0.4506,0.4493,1.9303,2.1137
37,0.4782,0.4266,0.4348,1.9155,2.1909
38,0.4767,0.4318,0.4391,1.9198,2.1741
39,0.4787,0.4304,0.4374,1.9019,2.2057
40,0.4822,0.4224,0.4413,1.8986,2.2222
41,0.4867,0.4352,0.4331,1.8815,2.1789
42,0.4797,0.4474,0.4438,1.8997,2.1423
43,0.4854,0.4496,0.4585,1.8858,2.0665
44,0.4842,0.4236,0.4201,1.8743,2.2898
45,0.4905,0.4358,0.4531,1.8765,2.1349
46,0.4919,0.4268,0.4405,1.8554,2.1857
47,0.4909,0.4326,0.4442,1.8642,2.1585
48,0.4932,0.4384,0.4485,1.8481,2.0983
49,0.4904,0.4648,0.4791,1.8509,2.0364
50,0.4920,0.4328,0.4393,1.8480,2.1992
51,0.4940,0.4468,0.4500,1.8440,2.1266
52,0.4966,0.4622,0.4666,1.8416,2.0212
53,0.4973,0.4440,0.4542,1.8361,2.1340
54,0.4943,0.4538,0.4508,1.8452,2.0843
55,0.5003,0.4506,0.4487,1.8251,2.1167
56,0.4967,0.4458,0.4487,1.8252,2.1607
57,0.5015,0.4596,0.4747,1.8181,2.0407
58,0.5044,0.4516,0.4584,1.8059,2.1023
59,0.5034,0.4606,0.4765,1.8077,2.0334
60,0.5010,0.4634,0.4660,1.8083,2.0509
61,0.6237,0.5728,0.5780,1.3284,1.5518
62,0.6689,0.5776,0.5832,1.1449,1.5305
63,0.6898,0.5796,0.5913,1.0684,1.5188
64,0.7077,0.5878,0.5969,1.0065,1.5236
65,0.7208,0.5906,0.5928,0.9540,1.4963
66,0.7281,0.5934,0.5933,0.9180,1.5183
67,0.7414,0.5894,0.5963,0.8763,1.5328
68,0.7501,0.5888,0.5930,0.8453,1.5262
69,0.7588,0.5934,0.5968,0.8098,1.5461
70,0.7664,0.5858,0.5950,0.7795,1.5765
71,0.7742,0.5928,0.5989,0.7514,1.5568
72,0.7835,0.5906,0.5956,0.7165,1.5846
73,0.7919,0.5804,0.5915,0.6907,1.6242
74,0.7956,0.5842,0.5876,0.6716,1.6252
75,0.8022,0.5796,0.5927,0.6486,1.6827
76,0.8059,0.5698,0.5821,0.6325,1.6791
77,0.8123,0.5748,0.5842,0.6083,1.7095
78,0.8183,0.5724,0.5810,0.5914,1.7228
79,0.8247,0.5768,0.5829,0.5718,1.7166
80,0.8230,0.5802,0.5843,0.5692,1.7146
81,0.8779,0.6070,0.6051,0.4150,1.6007
82,0.8982,0.6052,0.6073,0.3582,1.5981
83,0.9070,0.6078,0.6107,0.3328,1.5998
84,0.9132,0.6086,0.6086,0.3161,1.6025
85,0.9194,0.6056,0.6094,0.3001,1.6149
86,0.9222,0.6114,0.6101,0.2874,1.6063
87,0.9248,0.6056,0.6076,0.2754,1.6163
88,0.9283,0.6088,0.6082,0.2680,1.6276
89,0.9298,0.6054,0.6094,0.2632,1.6315
90,0.9321,0.6078,0.6097,0.2546,1.6424
91,0.9328,0.6070,0.6123,0.2477,1.6435
92,0.9370,0.6060,0.6101,0.2383,1.6498
93,0.9398,0.6050,0.6082,0.2319,1.6615
94,0.9397,0.6020,0.6081,0.2266,1.6597
95,0.9430,0.6058,0.6084,0.2181,1.6665
96,0.9457,0.6038,0.6094,0.2114,1.6713
97,0.9453,0.6050,0.6103,0.2099,1.6749
98,0.9468,0.6020,0.6075,0.2051,1.6843
99,0.9471,0.6050,0.6075,0.1988,1.6953
100,0.9515,0.6020,0.6083,0.1915,1.6969
101,0.9526,0.6002,0.6071,0.1890,1.7088
102,0.9525,0.6060,0.6042,0.1829,1.7140
103,0.9561,0.6032,0.6041,0.1751,1.7187
104,0.9554,0.6050,0.6093,0.1754,1.7201
105,0.9578,0.6006,0.6099,0.1699,1.7273
106,0.9588,0.6016,0.6103,0.1658,1.7345
